phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
5,4,24,7,4,35,11,6,42,11,7,55
5,5,27,7,5,38,1,5,42,1,6,54
5,5,31,7,5,41,11,6,43,11,7,54
5,5,24,7,5,38,9,7,47,1,6,57
5,7,32,8,5,38,9,6,42,11,7,53
15,6,30,7,5,41,9,6,43,1,6,50
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,5,31,1,5,32,1,5,44
5,5,29,7,5,31,9,6,34,1,5,39
5,4,24,9,6,26,9,6,35,1,5,35
5,3,21,9,5,29,9,6,34,1,4,32
7,4,25,7,4,27,9,5,35,11,5,37
5,4,27,7,5,34,9,5,36,1,5,34
5,3,24,7,4,32,1,4,34,1,4,38
7,4,24,7,4,34,9,5,32,1,5,40
7,5,30,9,6,40,9,8,33,11,5,37
7,4,25,7,5,36,9,6,34,1,4,35
7,4,24,7,5,32,9,5,38,1,5,41
15,4,21,7,4,33,1,4,33,11,6,41
7,4,19,7,4,28,1,4,32,1,5,38
7,3,18,7,3,22,1,4,30,1,5,35
15,4,17,7,4,26,1,4,33,11,6,43
15,4,17,7,4,26,9,5,35,1,5,44
15,5,21,7,4,29,1,4,33,1,5,42
5,4,21,7,5,30,9,5,33,1,5,45
5,4,23,7,5,36,9,5,38,11,6,47
5,4,25,7,5,33,9,5,33,1,5,39
15,4,19,7,4,31,1,5,33,1,5,41
5,5,26,7,5,37,1,5,34,1,5,41
5,4,21,9,5,41,1,5,41,11,6,44
5,6,26,7,5,38,9,5,36,11,6,43
5,4,25,9,7,46,9,7,39,11,6,42
7,3,17,9,5,38,1,5,40,11,6,42
15,4,17,1,4,34,1,5,40,11,6,42
5,4,24,7,5,42,11,6,43,11,6,45
7,4,20,7,5,42,11,6,42,11,7,49
5,3,17,7,5,40,1,6,45,1,6,45
5,4,19,9,5,40,9,6,42,1,6,46
5,3,16,9,5,36,9,6,42,1,5,44
5,3,22,9,5,38,9,7,42,1,5,43
5,5,23,7,5,40,1,5,41,1,5,44
15,4,20,7,4,37,1,5,40,11,7,49
15,5,20,8,5,41,1,5,40,11,6,49
15,5,23,7,5,43,1,5,42,1,6,48
15,5,21,7,6,41,1,6,40,11,6,46
15,5,24,9,6,37,9,6,43,1,6,50
15,6,23,9,5,40,1,5,43,11,7,51
15,5,21,1,4,38,1,5,41,1,6,50
15,4,17,1,4,37,1,6,43,1,6,54
15,4,23,7,5,44,1,6,44,1,6,52
15,5,26,7,5,44,1,6,49,11,8,56
5,4,25,7,5,43,9,6,48,11,8,61
5,7,23,9,6,38,9,8,54,11,8,64
5,7,26,9,6,37,9,7,53,11,8,60
5,4,27,9,6,45,9,8,50,11,8,53
9,5,26,9,8,46,9,10,51,11,7,51
0,0,0,11,3,17,11,4,25,1,4,35
5,5,29,7,5,39,1,5,40,1,5,39
5,4,23,7,5,39,1,5,37,12,6,44
5,4,26,9,6,40,9,6,39,11,6,41
9,7,25,9,10,39,9,10,44,1,6,46
9,10,29,9,12,48,9,13,50,11,6,49
9,13,40,9,15,58,9,16,50,11,6,44
9,14,41,9,16,60,9,17,54,1,6,49
9,17,48,9,19,63,9,19,55,11,6,47
9,18,52,9,20,65,9,19,56,11,6,47
9,18,50,9,20,60,9,19,53,11,6,44
9,18,46,9,19,59,9,19,54,1,5,46
9,17,44,9,19,57,9,19,53,1,5,47
9,19,45,9,20,54,9,19,50,1,6,45
9,20,43,9,20,48,9,19,50,1,5,41
9,20,43,9,20,50,9,19,47,1,4,37
9,20,44,9,20,47,9,19,43,1,5,42
9,20,51,9,20,51,9,19,46,11,5,43
9,20,53,9,20,54,9,19,49,9,6,49
9,19,51,9,20,53,9,19,46,1,5,46
9,18,46,9,19,44,9,20,48,1,4,37
9,16,42,9,18,44,9,19,48,1,6,43
9,13,34,9,14,34,9,14,38,2,5,45
9,8,30,9,8,31,9,9,36,11,6,40
5,4,21,1,3,24,1,4,34,11,6,46
7,5,30,7,6,35,9,5,37,11,7,46
5,5,31,7,6,38,11,6,44,11,7,56
5,7,32,9,6,40,9,7,47,11,8,58
5,5,26,9,6,36,9,8,46,1,7,59
15,6,33,7,5,38,9,6,44,1,7,62
15,6,32,7,6,37,11,6,47,11,8,68
15,9,35,7,6,41,11,6,46,11,9,67
15,9,37,7,5,34,1,5,43,11,8,62
15,9,35,7,5,36,9,6,46,15,8,63
15,9,37,7,4,34,9,6,49,15,8,61
15,11,35,7,5,35,1,5,45,1,7,60
15,8,27,7,5,34,1,6,46,11,8,65
5,6,30,7,5,39,9,8,52,1,8,72
